index,surface,lemma,enlemma,clar,pos,gender,number,notes,extra,sort
55504,cydfyw,cydfyw,live_together,,v,\N,\N,\N,\N,3u58ut
55545,cydffederasiwn,cydffederasiwn,joint federation,,n,m,sg,\N,\N,3u59757n1pdtj
55591,cydffurfio,cydffurfio,conform,,v,\N,\N,\N,\N,3u59sn8dk
55599,cydgadeirydd,cydgadeirydd,co-chairman,,n,m,sg,\N,\N,3u5a157dnu6
55600,cydgadwyniad,cydgadwyniad,concatenation,,n,m,sg,\N,\N,3u5a15tujd15
55602,cydgadwyno,cydgadwyno,concatenate,,v,\N,\N,\N,\N,3u5a15tujk
55605,cydganlyn,cydganlyn,accompany,,v,\N,\N,\N,\N,3u5a1jguj
55669,cydganu,cydganu,sing_together,,v,\N,\N,\N,\N,3u5a1js
55770,cydgasglu,cydgasglu,gather_together,,v,\N,\N,\N,\N,3u5a1pags
55784,cydgefnogi,cydgefnogi,support_jointly,,v,\N,\N,\N,\N,3u5a78jkad
55847,cydgeisio,cydgeisio,compete,,v,\N,\N,\N,\N,3u5a7dpdk
55919,cydgerdded,cydgerdded,accompany,,v,\N,\N,\N,\N,3u5a7n675
55975,cydgomisiynu,cydgomisiynu,commission_jointly,,v,\N,\N,\N,\N,3u5akidpdujs
55992,cydgordio,cydgordio,accord,,v,\N,\N,\N,\N,3u5akn5dk
56091,cydgroesi,cydgroesi,concur,,v,\N,\N,\N,\N,3u5ank7pd
56095,cydgrynhoi,cydgrynhoi,gather_together,,v,\N,\N,\N,\N,3u5anujckd
56159,cydgyfeirio,cydgyfeirio,converge,,v,\N,\N,\N,\N,3u5au87dndk
56229,cydgyfranogi,cydgyfranogi,participate,,v,\N,\N,\N,\N,3u5au8n1jkad
56257,cydgyffwrdd,cydgyffwrdd,coincide,,v,\N,\N,\N,\N,3u5au9tn6
56353,cydgyllido,cydgyllido,finance_jointly,,v,\N,\N,\N,\N,3u5auhd5k
56400,cydgynllunio,cydgynllunio,collude,,v,\N,\N,\N,\N,3u5aujhsjdk
56428,cydgynnull,cydgynnull,gather_together,,v,\N,\N,\N,\N,3u5aujjsh
56459,cydgysylltiedig,cydgysylltiedig,coordinated,,adj,,,\N,\N,3u5aupuhqd75da
56460,cydgysylltu,cydgysylltu,coordinate,,v,\N,\N,\N,\N,3u5aupuhqs
56486,cydio,cydio,grip,,v,\N,\N,\N,\N,3u5dk
56542,cydladd,cydladd,agree,,v,\N,\N,\N,\N,3u5g16
56585,cydlafurio,cydlafurio,work_jointly,,v,\N,\N,\N,\N,3u5g18sndk
56653,cydlawenhau,cydlawenhau,rejoice_jointly,,v,\N,\N,\N,\N,3u5g1t7jc1s
56706,cydleoli,cydleoli,colocate,,v,\N,\N,\N,\N,3u5g7kgd
56728,cydletya,cydletya,lodge_together,,v,\N,\N,\N,\N,3u5g7qu1
56796,cydlifio,cydlifio,flow_together,,v,\N,\N,\N,\N,3u5gd8dk
56846,cydlofnoda,cydlofnoda,co-sign,,v,\N,\N,\N,\N,3u5gk8jk51
56884,cydlyniad,cydlyniad,compilation,,n,m,sg,\N,\N,3u5gujd15
56885,cydlynol,cydlynol,cohesive,,adj,,,\N,\N,3u5gujkg
56935,cydlynu,cydlynu,cohere,,v,\N,\N,\N,\N,3u5gujs
56940,cydlynus,cydlynus,cohesive,,adj,,,\N,\N,3u5gujsp
56942,cydlynydd,cydlynydd,coordinator,,n,m,sg,\N,\N,3u5guju6
56943,cydnabod,cydnabod,acknowledge,,v,\N,\N,\N,\N,3u5j12k5
56944,cydnabyddedig,cydnabyddedig,recognised,,adj,,,\N,\N,3u5j12u675da
56945,cydnabyddiaeth,cydnabyddiaeth,recognition,,n,f,sg,\N,\N,3u5j12u6d17r
56946,cydnaws,cydnaws,compatible,,adj,,,\N,\N,3u5j1tp
56969,cydoesi,cydoesi,be_contemporary,,v,\N,\N,\N,\N,3u5k7pd
57001,cydol,cydol,whole,,n,mf,sg,\N,\N,3u5kg
57053,cydolygu,cydolygu,edit_jointly,,v,\N,\N,\N,\N,3u5kguas
57100,cydorwedd,cydorwedd,copulate,,v,\N,\N,\N,\N,3u5knt76
57123,cydosod,cydosod,juxtapose,,v,\N,\N,\N,\N,3u5kpk5
57164,cydosod,cydosod,assemble,(put together),v,\N,\N,\N,\N,3u5kpk5
57165,cydosodiad,cydosodiad,assembly,(of parts),n,m,sg,\N,\N,3u5kpk5d15
57167,cydosodydd,cydosodydd,assembler,,n,m,sg,\N,\N,3u5kpk5u6
57169,cydradd,cydradd,equal in rank,,adj,,,\N,\N,3u5n16
57171,cydradd,cydradd,peer,,n,m,sg,\N,\N,3u5n16
57222,cydraddol,cydraddol,equalise,,v,\N,\N,\N,\N,3u5n16kg
57226,cydraddoldeb,cydraddoldeb,equality,,n,m,sg,\N,\N,3u5n16kg572
57227,cydraddu,cydraddu,peer,(become part of P2P network),v,\N,\N,\N,\N,3u5n16s
57229,cydran,cydran,component,,n,f,sg,\N,\N,3u5n1j
57230,cydraniad,cydraniad,resolution,(of screen),n,m,sg,\N,\N,3u5n1jd15
57260,cydrannu,cydrannu,divide,,v,\N,\N,\N,\N,3u5n1jjs
57269,cydrannu,cydrannu,resolve,(eg domain name),v,\N,\N,\N,\N,3u5n1jjs
57294,cydrannydd,cydrannydd,resolver,(eg domain name),n,m,sg,\N,\N,3u5n1jju6
57312,cydredeg,cydredeg,coincide,,v,\N,\N,\N,\N,3u5n757a
57385,cydroddi,cydroddi,contribute,,v,\N,\N,\N,\N,3u5nk6d
57439,cydsefydlu,cydsefydlu,establish_jointly,,v,\N,\N,\N,\N,3u5p78u5gs
57492,cydsefyll,cydsefyll,be_compatible,,v,\N,\N,\N,\N,3u5p78uh
57536,cydseinio,cydseinio,harmonise,,v,\N,\N,\N,\N,3u5p7djdk
57613,cydserennu,cydserennu,co-star,,v,\N,\N,\N,\N,3u5p7n7jjs
57618,cydsyniad,cydsyniad,consent,,n,m,sg,\N,\N,3u5pujd15
57636,cydsynio,cydsynio,agree,,v,\N,\N,\N,\N,3u5pujdk
57676,cyduno,cyduno,unite,,v,\N,\N,\N,\N,3u5sjk
57726,cydweddiad,cydweddiad,match,(eg search results),n,m,sg,\N,\N,3u5t76d15
57727,cydweddol,cydweddol,matching,(eg search result),adj,,,\N,\N,3u5t76kg
57744,cydweddu,cydweddu,conform,,v,\N,\N,\N,\N,3u5t76s
57749,cydweddu,cydweddu,match,(eg search result),v,\N,\N,\N,\N,3u5t76s
57814,cydweithio,cydweithio,work_together,,v,\N,\N,\N,\N,3u5t7drdk
57835,cydweithiwr,cydweithiwr,colleague,,n,m,sg,\N,\N,3u5t7drdtn
57837,cydweithrediad,cydweithrediad,cooperation,,n,m,sg,\N,\N,3u5t7drn75d15
57838,cydweithredol,cydweithredol,cooperative,,adj,,,\N,\N,3u5t7drn75kg
57867,cydweithredu,cydweithredu,co-operate,,v,\N,\N,\N,\N,3u5t7drn75s
57893,cydweld,cydweld,agree,\N,v,\N,\N,\N,\N,3u5t7g5
57931,cydweu,cydweu,interlace,,v,\N,\N,\N,\N,3u5t7s
57960,cydymagweddu,cydymagweddu,conform,,v,\N,\N,\N,\N,3u5ui1at76s
58015,cydymdeimlo,cydymdeimlo,sympathise,,v,\N,\N,\N,\N,3u5ui57digk
58058,cydymdrechu,cydymdrechu,make_a united effort,,v,\N,\N,\N,\N,3u5ui5n74s
58109,cydymddwyn,cydymddwyn,tolerate,,v,\N,\N,\N,\N,3u5ui6tuj
58151,cydymffurfiad,cydymffurfiad,compliance,,n,m,sg,\N,\N,3u5ui9sn8d15
58152,cydymffurfiad,cydymffurfiad,conformity,,n,m,sg,\N,\N,3u5ui9sn8d15
58153,cydymffurfiaeth,cydymffurfiaeth,conformity,,n,f,sg,\N,\N,3u5ui9sn8d17r
58162,cydymffurfio,cydymffurfio,conform,,v,\N,\N,\N,\N,3u5ui9sn8dk
58178,cydymffurfio,cydymffurfio,comply,,v,\N,\N,\N,\N,3u5ui9sn8dk
58206,cydymffurfiol,cydymffurfiol,compliant,,adj,,,\N,\N,3u5ui9sn8dkg
58219,cydymgynghori,cydymgynghori,consult_together,,v,\N,\N,\N,\N,3u5uiaubcknd
58262,cydystyrio,cydystyrio,deliberate_jointly,,v,\N,\N,\N,\N,3u5upqundk
58309,cyf,cyf,ltd,,adj,,,\N,\N,3u8
58310,cyfaddas,cyfaddas,suitable,,adj,,,\N,\N,3u8161p
58346,cyfaddasu,cyfaddasu,adapt,,v,\N,\N,\N,\N,3u8161ps
58369,cyfaddawd,cyfaddawd,compromise,,n,m,sg,\N,\N,3u8161t5
58412,cyfaddawdu,cyfaddawdu,compromise,,v,\N,\N,\N,\N,3u8161t5s
58469,cyfaddef,cyfaddef,admit,,v,\N,\N,\N,\N,3u81678
58478,cyfaddefiad,cyfaddefiad,acknowledgement,,n,m,sg,\N,\N,3u81678d15
58528,cyfaddodi,cyfaddodi,compromise,,v,\N,\N,\N,\N,3u816k5d
58534,cyfagos,cyfagos,adjacent,,adj,,,\N,\N,3u81akp
58552,cyfangu,cyfangu,collapse,(a directory tree),v,\N,\N,\N,\N,3u81bs
58586,cyfangu,cyfangu,contract,,v,\N,\N,\N,\N,3u81bs
58591,cyfaill,cyfaill,mate,(friend),n,m,sg,\N,\N,3u81dh
58592,cyfain,cyfain,whole,(pl),adj,,,\N,\N,3u81dj
58594,cyfaint,cyfaint,volume,(measure),n,m,sg,\N,\N,3u81djq
58595,cyfalaf,cyfalaf,capital,(money),n,m,sg,\N,\N,3u81g18
58622,cyfamodi,cyfamodi,covenant,,v,\N,\N,\N,\N,3u81ik5d
58651,cyfamser,cyfamser,interval,,n,m,sg,\N,\N,3u81ip7n
58655,cyfamseru,cyfamseru,synchronise,,v,\N,\N,\N,\N,3u81ip7ns
58708,cyfan,cyfan,whole,,adj,,,\N,\N,3u81j
58709,cyfan,cyfan,whole,,n,m,sg,\N,\N,3u81j
58746,cyfanhau,cyfanhau,unite,,v,\N,\N,\N,\N,3u81jc1s
58789,cyfanheddu,cyfanheddu,inhabit,,v,\N,\N,\N,\N,3u81jc76s
58814,cyfanheddu,cyfannedd,inhabit,\N,v,\N,\N,\N,\N,3u81jj76
58815,cyfannol,cyfannol,integrated,,adj,,,\N,\N,3u81jjkg
58844,cyfannu,cyfannu,integrate,,v,\N,\N,\N,\N,3u81jjs
58875,cyfanrif,cyfanrif,integer,,n,m,sg,\N,\N,3u81jnd8
58876,cyfansawdd,cyfansawdd,composite,,adj,,,\N,\N,3u81jp1t6
58877,cyfansawdd,cyfansawdd,compound,,adj,,,\N,\N,3u81jp1t6
58915,cyfansoddi,cyfansoddi,compose,,v,\N,\N,\N,\N,3u81jpk6d
58932,cyfansoddiad,cyfansoddiad,composition,,n,m,sg,\N,\N,3u81jpk6d15
58934,cyfansoddiadol,cyfansoddiadol,constitutional,,adj,,,\N,\N,3u81jpk6d15kg
58936,cyfansoddydd,cyfansoddydd,composer,,n,m,sg,\N,\N,3u81jpk6u6
58938,cyfanswm,cyfanswm,total,,n,m,sg,\N,\N,3u81jpti
58943,cyfantoli,cyfantoli,balance,,v,\N,\N,\N,\N,3u81jqkgd
58993,cyfanwaith,cyfanwaith,oeuvre,(body of work),n,m,sg,\N,\N,3u81jt1dr
59014,cyfanwerthu,cyfanwerthu,wholesale,,v,\N,\N,\N,\N,3u81jt7nrs
59048,cyfanwerthwr,cyfanwerthwr,wholesaler,,n,m,sg,\N,\N,3u81jt7nrtn
59075,cyfarch,cyfarch,greet,,v,\N,\N,\N,\N,3u81n4
59078,cyfarch,cyfarch,greeting,,n,m,sg,\N,\N,3u81n4
59106,cyfarchiad,cyfarchiad,greeting,,n,m,sg,\N,\N,3u81n4d15
59107,cyfarchiad,cyfarchiad,salutation,,n,m,sg,\N,\N,3u81n4d15
59117,cyfarchu,cyfarchu,hail,,v,\N,\N,\N,\N,3u81n4s
59168,cyfarchydd,cyfarchydd,greeter,(program welcome),n,m,sg,\N,\N,3u81n4u6
59193,cyfareddu,cyfareddu,bewitch,,v,\N,\N,\N,\N,3u81n76s
59223,cyfarfod,cyfarfod,meeting,,n,m,sg,\N,\N,3u81n8k5
59224,cyfarfod,cyfarfod,meet,\N,v,\N,\N,\N,\N,3u81n8k5
59226,cyfarfodwr,cyfarfodwr,attendee,,n,m,sg,\N,\N,3u81n8k5tn
59238,cyfarpar,cyfarpar,prepare,,v,\N,\N,\N,\N,3u81nl1n
59256,cyfarpar,cyfarpar,equipment,,n,m,sg,\N,\N,3u81nl1n
59324,cyfarparu,cyfarparu,prepare,,v,\N,\N,\N,\N,3u81nl1ns
59345,cyfartal,cyfartal,equal,,adj,,,\N,\N,3u81nq1g
59346,cyfartaledd,cyfartaledd,average,,n,m,sg,\N,\N,3u81nq1g76
59348,cyfartalog,cyfartalog,average,,adj,,,\N,\N,3u81nq1gka
59365,cyfartalu,cyfartalu,equalise,,v,\N,\N,\N,\N,3u81nq1gs
59403,cyfarth,cyfarth,bark,,v,\N,\N,\N,\N,3u81nr
59502,cyfarwain,cyfarwain,conduct,,v,\N,\N,\N,\N,3u81nt1dj
59508,cyfarwydd,cyfarwydd,skilled,,adj,,,\N,\N,3u81ntu6
59509,cyfarwydd,cyfarwydd,familiar,(used to),adj,,,\N,\N,3u81ntu6
59511,cyfarwyddeb,cyfarwyddeb,directive,,n,f,sg,\N,\N,3u81ntu672
59514,cyfarwyddiad,cyfarwyddiad,tutorial,(written),n,m,sg,\N,\N,3u81ntu6d15
59515,cyfarwyddiad,cyfarwyddiad,instruction,,n,m,sg,\N,\N,3u81ntu6d15
59516,cyfarwyddiaeth,cyfarwyddiaeth,guidance,,n,f,sg,\N,\N,3u81ntu6d17r
59527,cyfarwyddo,cyfarwyddo,direct,,v,\N,\N,\N,\N,3u81ntu6k
59572,cyfarwyddwr,cyfarwyddwr,director,,n,m,sg,\N,\N,3u81ntu6tn
59573,cyfarwyddwraig,cyfarwyddwraig,director,(f),n,f,sg,\N,\N,3u81ntu6tn1da
59576,cyfarwyddyd,cyfarwyddyd,instruction,,n,m,sg,\N,\N,3u81ntu6u5
59610,cyfatal,cyfatal,support,,v,\N,\N,\N,\N,3u81q1g
59640,cyfateb,cyfateb,correspond_to,,v,\N,\N,\N,\N,3u81q72
59686,cyfatebiaeth,cyfatebiaeth,correspondence,(of analogous parts),n,f,sg,\N,\N,3u81q72d17r
59687,cyfatebol,cyfatebol,corresponding,,adj,,,\N,\N,3u81q72kg
59715,cyfatebu,cyfatebu,correspond_to,,v,\N,\N,\N,\N,3u81q72s
59742,cyfath,cyfath,congruent,,adj,,,\N,\N,3u81r
59743,cyfathiant,cyfathiant,congruence,,n,m,sg,\N,\N,3u81rd1jq
59746,cyfathrach,cyfathrach,mix,,v,\N,\N,\N,\N,3u81rn14
59830,cyfathrachu,cyfathrachu,mix,,v,\N,\N,\N,\N,3u81rn14s
59857,cyfathrebiad,cyfathrebiad,communication,,n,m,sg,\N,\N,3u81rn72d15
59859,cyfathrebiad,cyfathrebiad,communication,,n,m,sg,\N,\N,3u81rn72d15
59861,cyfathrebiaeth,cyfathrebiaeth,communications,(field of study),n,f,sg,\N,\N,3u81rn72d17r
59909,cyfathrebu,cyfathrebu,communicate,,v,\N,\N,\N,\N,3u81rn72s
59925,cyfebru,cyfebru,conceive,,v,\N,\N,\N,\N,3u872ns
59981,cyfebu,cyfebu,conceive,,v,\N,\N,\N,\N,3u872s
60024,cyfeddach,cyfeddach,feast,,v,\N,\N,\N,\N,3u87614
60071,cyfeilio,cyfeilio,accompany,,v,\N,\N,\N,\N,3u87dgdk
60088,cyfeiliorni,cyfeiliorni,stray,,v,\N,\N,\N,\N,3u87dgdknjd
60131,cyfeillacha,cyfeillacha,associate_with,,v,\N,\N,\N,\N,3u87dh141
60184,cyfeillgar,cyfeillgar,friendly,,adj,,,\N,\N,3u87dha1n
60185,cyfeillgarwch,cyfeillgarwch,friendliness,,n,m,sg,\N,\N,3u87dha1nt4
60187,cyfeiriad,cyfeiriad,direction,,n,m,sg,\N,\N,3u87dnd15
60188,cyfeiriad,cyfeiriad,address,,n,m,sg,\N,\N,3u87dnd15
60190,cyfeiriad IP sefydlog,cyfeiriad IP sefydlog,static IP address,,n,m,sg,\N,\N,3u87dnd150dl0p78u5gka
60192,cyfeiriadaeth,cyfeiriadaeth,orientation,(on screen),n,m,sg,\N,\N,3u87dnd1517r
60194,cyfeiriadur,cyfeiriadur,directory,,n,f,sg,\N,\N,3u87dnd15sn
60239,cyfeiriannu,cyfeiriannu,orienteer,,v,\N,\N,\N,\N,3u87dnd1jjs
60250,cyfeiriant,cyfeiriant,bearing,(direction),n,m,sg,\N,\N,3u87dnd1jq
60294,cyfeirio,cyfeirio,direct,,v,\N,\N,\N,\N,3u87dndk
60302,cyfeiriol,cyfeiriol,directional,,adj,,,\N,\N,3u87dndkg
60303,cyfeirlyfr,cyfeirlyfr,directory,,n,m,sg,\N,\N,3u87dngu8n
60306,cyfeirnod,cyfeirnod,reference,,n,m,sg,\N,\N,3u87dnjk5
60307,cyfeirnod,cyfeirnod,reference,(item),n,m,sg,\N,\N,3u87dnjk5
60310,cyfeirnod grid,cyfeirnod grid,grid reference,,n,m,sg,\N,\N,3u87dnjk50and5
60341,cyfeirnodi,cyfeirnodi,reference,,v,\N,\N,\N,\N,3u87dnjk5d
60365,cyfeirydd,cyfeirydd,guide,(for shape or size),n,m,sg,\N,\N,3u87dnu6
60367,cyfenw,cyfenw,surname,\N,n,m,sg,\N,\N,3u87jt
60368,cyfenwadur,cyfenwadur,common denominator,,n,m,sg,\N,\N,3u87jt15sn
60413,cyfenwi,cyfenwi,name,,v,\N,\N,\N,\N,3u87jtd
60424,cyfer,cyfer,direction,,n,m,sg,\N,\N,3u87n
60425,cyferbyn,cyferbyn,opposite,,adj,,,\N,\N,3u87n2uj
60426,cyferbyniad,cyferbyniad,contrast,,n,m,sg,\N,\N,3u87n2ujd15
60485,cyferbynnu,cyferbynnu,contrast,,v,\N,\N,\N,\N,3u87n2ujjs
60514,cyferbynnu,cyferbynnu,contrast,,v,\N,\N,\N,\N,3u87n2ujjs
60530,cyfernod,cyfernod,coefficient,,n,m,sg,\N,\N,3u87njk5
60533,cyfesuryn,cyfesuryn,coordinate,(map),n,m,sg,\N,\N,3u87psnuj
60536,cyfetholi,cyfetholi,co-opt,,v,\N,\N,\N,\N,3u87rkgd
60588,cyfiau,cyfiau,conjugate,(maths),n,m,sg,\N,\N,3u8d1s
60589,cyfiau cymhlyg,cyfiau cymhlyg,complex conjugate,,n,m,sg,\N,\N,3u8d1s03uicgua
60590,cyfiawnder,cyfiawn,justice,,n,m,sg,\N,\N,3u8d1tj
60591,cyfiawn,cyfiawn,right,\N,adj,\N,\N,\N,\N,3u8d1tj
60594,cyfiawnhad,cyfiawnhad,justification,,n,m,sg,\N,\N,3u8d1tjc15
60610,cyfiawnhau,cyfiawnhau,justify,,v,\N,\N,\N,\N,3u8d1tjc1s
60645,cyfieithiad,cyfieithiad,translation,,n,m,sg,\N,\N,3u8d7drd15
60647,cyfieithiedig,cyfieithiedig,translated,,adj,,,\N,\N,3u8d7drd75da
60690,cyfieithu,cyfieithu,translate,,v,\N,\N,\N,\N,3u8d7drs
60703,cyfieithydd,cyfieithydd,translator,,n,m,sg,\N,\N,3u8d7dru6
60739,cyfieuo,cyfieuo,yoke,,v,\N,\N,\N,\N,3u8d7sk
60787,cyflafareddu,cyflafareddu,confer,,v,\N,\N,\N,\N,3u8g181n76s
60813,cyflawn,cyflawn,complete,,adj,,,\N,\N,3u8g1tj
60814,cyflawnder,cyflawn,abundance,\N,n,m,sg,\N,\N,3u8g1tj
60832,cyflawni,cyflawni,accomplish,,v,\N,\N,\N,\N,3u8g1tjd
60869,cyflawni hunanladdiad,cyflawni hunanladdiad,commit suicide,,h,,,\N,\N,3u8g1tjd0csj1jg16d15
60871,cyflawniad,cyflawniad,achievement,,n,m,sg,\N,\N,3u8g1tjd15
60872,cyflawnrwydd,cyflawnrwydd,completeness,,n,m,sg,\N,\N,3u8g1tjntu6
60875,cyfle,cyfle,opportunity,,n,m,sg,\N,\N,3u8g7
60923,cyflegru,cyflegru,bombard,,v,\N,\N,\N,\N,3u8g7ans
60930,cyflenwad,cyflenwad,supply,,n,m,sg,\N,\N,3u8g7jt15
60931,cyflenwadau,cyflenwadau,supplies,,n,m,sg,\N,\N,3u8g7jt151s
60937,cyflenwi,cyflenwi,supply,,v,\N,\N,\N,\N,3u8g7jtd
60984,cyflenwol,cyflenwol,complementary,,adj,,,\N,\N,3u8g7jtkg
61003,cyfleu,cyfleu,imply,,v,\N,\N,\N,\N,3u8g7s
61029,cyfleu,cyfleu,convey,,v,\N,\N,\N,\N,3u8g7s
61039,cyfleus,cyfleus,convenient,,adj,,,\N,\N,3u8g7sp
61041,cyfleuster,cyfleuster,convenience,,n,m,sg,\N,\N,3u8g7spq7n
61049,cyfliwio,cyfliwio,tint,,v,\N,\N,\N,\N,3u8gdtdk
61094,cyflog,cyflog,wage,,n,mf,sg,\N,\N,3u8gka
61096,cyflog sylfaenol,cyflog sylfaenol,basic pay,,n,mf,sg,\N,\N,3u8gka0pug817jkg
61097,cyflogaeth,cyflogaeth,employment,,n,f,sg,\N,\N,3u8gka17r
61099,cyflogai,cyflogai,employee,,n,m,sg,\N,\N,3u8gka1d
61100,cyflogedig,cyflogedig,employed,,adj,,,\N,\N,3u8gka75da
61141,cyflogi,cyflogi,employ,,v,\N,\N,\N,\N,3u8gkad
61156,cyflogwr,cyflogwr,employer,,n,m,sg,\N,\N,3u8gkatn
61193,cyfloi,cyfloi,impregnate,,v,\N,\N,\N,\N,3u8gkd
61208,cyflun,cyflun,similar,(in shape),adj,,,\N,\N,3u8gsj
61210,cyflunedd,cyflunedd,similarity,(in shape),n,m,sg,\N,\N,3u8gsj76
61260,cyflunio,cyflunio,configure,,v,\N,\N,\N,\N,3u8gsjdk
61262,cyflwr,cyflwr,condition,,n,m,sg,\N,\N,3u8gtn
61265,cyflwyniad,cyflwyniad,presentation,,n,m,sg,\N,\N,3u8gtujd15
61266,cyflwyniadol,cyflwyniadol,dedicatory,,adj,,,\N,\N,3u8gtujd15kg
61267,cyflwynlyfr,cyflwynlyfr,primer,(introduction),n,m,sg,\N,\N,3u8gtujgu8n
61304,cyflwyno,cyflwyno,introduce,,v,\N,\N,\N,\N,3u8gtujk
61323,cyflymach,cyflym,fast,,adj.comp,,,\N,\N,3u8gui
61324,cyflym,cyflym,fast,,adj,,,\N,\N,3u8gui
61325,cyflymaf,cyflymaf,fastest,,adj,,,\N,\N,3u8gui18
61328,cyflymder,cyflymder,speed,,n,m,sg,\N,\N,3u8gui57n
61329,cyflymder,cyflymder,velocity,(physics),n,m,sg,\N,\N,3u8gui57n
61330,cyflymiad,cyflymiad,acceleration,,n,m,sg,\N,\N,3u8guid15
61359,cyflymu,cyflymu,accelerate,,v,\N,\N,\N,\N,3u8guis
61387,cyflymydd,cyflymydd,accelerator,,n,m,sg,\N,\N,3u8guiu6
61391,cyflynu,cyflynu,cohere,,v,\N,\N,\N,\N,3u8gujs
61442,cyflyru,cyflyru,condition,,v,\N,\N,\N,\N,3u8guns
61496,cyflythreniad,cyflythreniad,alliteration,\N,n,m,sg,\N,\N,3u8gurn7jd15
61510,cyfnerthu,cyfnerthu,reinforce,,v,\N,\N,\N,\N,3u8j7nrs
61552,cyfnesaf,cyfnesaf,kinsman,\N,n,m,sg,\N,\N,3u8j7p18
61597,cyfnewid,cyfnewid,exchange,,v,\N,\N,\N,\N,3u8j7td5
61605,cyfnewidfa,cyfnewidfa,exchange,(place),n,f,sg,\N,\N,3u8j7td581
61609,cyfnewidiol,cyfnewidiol,variable,,adj,,,\N,\N,3u8j7td5dkg
61610,cyfnither,cyfnither,cousin,(female),n,f,sg,\N,\N,3u8jdr7n
61612,cyfnod,cyfnod,period,,n,m,sg,\N,\N,3u8jk5
61614,cyfnod gwirio,cyfnod gwirio,polling interval,(computer),n,m,sg,\N,\N,3u8jk50atdndk
61615,cyfnodol,cyfnodol,periodic,,adj,,,\N,\N,3u8jk5kg
61617,cyfnodolyn,cyfnodolyn,periodical,,n,m,sg,\N,\N,3u8jk5kguj
61618,cyfochrog,cyfochrog,parallel,,adj,,,\N,\N,3u8k4nka
61633,cyfodi,cyfodi,lift,,v,\N,\N,\N,\N,3u8k5d
61704,cyfodli,cyfodli,rhyme_with,,v,\N,\N,\N,\N,3u8k5gd
61727,cyfoed,cyfoed,contemporary,,n,m,sg,\N,\N,3u8k75
61756,cyfoedi,cyfoedi,be_contemporaneous with,,v,\N,\N,\N,\N,3u8k75d
61783,cyfoes,cyfoes,modern,,adj,,,\N,\N,3u8k7p
61824,cyfoesi,cyfoesi,be_contemporaneous with,,v,\N,\N,\N,\N,3u8k7pd
61838,cyfoeth,cyfoeth,wealth,,n,m,sg,\N,\N,3u8k7r
61839,cyfoethog,cyfoethog,wealthy,,adj,,,\N,\N,3u8k7rka
61868,cyfoethogi,cyfoethogi,enrich,,v,\N,\N,\N,\N,3u8k7rkad
61943,cyfogi,cyfogi,vomit,,v,\N,\N,\N,\N,3u8kad
61998,cyfori,cyfori,cover,,v,\N,\N,\N,\N,3u8knd
62054,cyfosod,cyfosod,juxtapose,,v,\N,\N,\N,\N,3u8kpk5
62057,cyfradd,cyfradd,rate,,n,f,sg,\N,\N,3u8n16
62059,cyfradd cyfnewid,cyfradd cyfnewid,exchange rate,,n,f,sg,\N,\N,3u8n1603u8j7td5
62060,cyfradd llog,cyfradd llog,interest rate,,n,f,sg,\N,\N,3u8n160hka
62062,cyfraith,cyfraith,law,,n,f,sg,\N,\N,3u8n1dr
62065,cyfran,cyfran,portion,,n,f,sg,\N,\N,3u8n1j
62067,cyfranddaliad,cyfranddaliad,share,(stock),n,m,sg,\N,\N,3u8n1j61gd15
62069,cyfraniad,cyfraniad,contribution,,n,m,sg,\N,\N,3u8n1jd15
62072,cyfrannog,cyfrannog,participant,,n,m,sg,\N,\N,3u8n1jjka
62074,cyfrannol,cyfrannol,proportional,,adj,,,\N,\N,3u8n1jjkg
62096,cyfrannu,cyfrannu,contribute,,v,\N,\N,\N,\N,3u8n1jjs
62131,cyfrannwr,cyfrannwr,contributor,,n,m,sg,\N,\N,3u8n1jjtn
62164,cyfranogi,cyfranogi,participate_in,,v,\N,\N,\N,\N,3u8n1jkad
62186,cyfranogiad,cyfranogiad,participation,,n,m,sg,\N,\N,3u8n1jkad15
62225,cyfrdroi,cyfrdroi,permute,,v,\N,\N,\N,\N,3u8n5nkd
62239,cyfrddwyn,cyfrddwyn,remove_entirely,,v,\N,\N,\N,\N,3u8n6tuj
62303,cyfredeg,cyfredeg,keep_pace with,,v,\N,\N,\N,\N,3u8n757a
62334,cyfredol,cyfredol,current,,adj,,,\N,\N,3u8n75kg
62352,cyfreithio,cyfreithio,litigate,,v,\N,\N,\N,\N,3u8n7drdk
62386,cyfreithiol,cyfreithiol,legal,,adj,,,\N,\N,3u8n7drdkg
62388,cyfreithiwr,cyfreithiwr,lawyer,,n,m,sg,\N,\N,3u8n7drdtn
62415,cyfreithloni,cyfreithloni,legalise,,v,\N,\N,\N,\N,3u8n7drgkjd
62443,cyfres,cyfres,series,(sing),n,f,sg,\N,\N,3u8n7p
62446,cyfresol,cyfresol,serial,,adj,,,\N,\N,3u8n7pkg
62447,cyfresoli,cyfresoli,serialise,,v,\N,\N,\N,\N,3u8n7pkgd
62449,cyfresoliad,cyfresoliad,serialisation,,n,m,sg,\N,\N,3u8n7pkgd15
62489,cyfresymu,cyfresymu,syllogise,,v,\N,\N,\N,\N,3u8n7puis
62532,cyfrif,cyfrif,count,,v,\N,\N,\N,\N,3u8nd8
62553,cyfrif,cyfrif,account,,n,m,sg,\N,\N,3u8nd8
